"Zona portuaria","Sociedad Portuaria","Tipo de embalaje","Exportación","Importación","Transbordo","Tránsito Internacional","Fluvial","Cabotaje","vigencia_anno","vigencia_mes"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.544","2.210","166","1.914",,,"2.018","1"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS llenos","696","2.736",,,,,"2.018","1"
"TURBO","PROMOTORA BANANERA S.A","TEUS llenos","434",,,,,"62","2.018","1"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","4.246","6.712","20.830",,,,"2.018","1"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","10.860","15.357","84.399",,,,"2.018","1"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","2.939","711",,,,"4","2.018","1"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos","12",,,,,,"2.018","1"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"0",,,,,"2.018","1"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","4.139","292","21.683",,,,"2.018","1"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"112",,,,"212","2.018","1"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","333","3.552",,,,,"2.018","1"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","3.963","700",,,,"96","2.018","1"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","1.073","921","524","1.728",,,"2.018","1"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"303","2.018","1"
